up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
7.BPM,072a..SÜo.Gonçalo,0,1,2,3,4,2,8,4,5,4,6,2
7.BPM,073a..Neves,5,6,9,4,4,2,6,5,7,5,2,9
7.BPM,074a..Alcantara,11,3,3,9,10,3,6,6,12,20,8,11
7.BPM,075a..Rio.do.Ouro,6,1,12,6,5,2,10,4,7,6,9,6
12.BPM,076a..NiterÑi.0.Centro,1,0,0,0,0,1,3,1,1,2,4,1
12.BPM,077a..IcaraÕ,1,0,0,0,0,0,0,0,0,0,1,0
12.BPM,078a..Fonseca,2,3,3,3,0,8,2,4,3,10,5,2
12.BPM,079a..Jurujuba,0,1,0,1,2,3,0,0,1,0,1,2
12.BPM,081a..ItaipÏ,6,0,0,1,4,2,1,1,0,0,4,3
12.BPM,082a..Maricà,8,3,6,3,3,3,2,3,3,0,2,3
10.BPM,087a..Paty.de.Alferes.(.a.inaugurar),0,0,0,0,0,0,0,0,0,0,0,0
10.BPM,088a..Barra.do.PiraÕ,1,2,2,4,3,0,0,1,0,0,1,0
37.BPM,089a..Resende,1,3,2,3,2,1,1,1,5,4,4,2
28.BPM,090a..Barra.Mansa,4,0,3,2,1,3,1,3,2,6,7,1
10.BPM,091a..Valença,0,1,1,0,0,0,1,2,0,0,0,0
10.BPM,092a..Rio.das.Flores,0,0,0,0,0,0,0,0,0,1,0,0
28.BPM,093a..Volta.Redonda,1,5,1,3,5,3,4,2,3,1,3,5
10.BPM,094a..PiraÕ,0,0,0,0,0,0,0,1,1,0,0,0
10.BPM,095a..Vassouras,1,0,1,0,1,0,2,2,0,3,2,0
10.BPM,096a..Miguel.Pereira,1,1,2,0,0,0,0,0,0,0,0,0
10.BPM,097a..Mendes,0,0,0,0,0,0,0,0,0,1,0,0
10.BPM,098a..Paulo.de.Frontin,0,0,0,0,0,1,0,0,0,0,0,0
37.BPM,099a..Itatiaia,0,0,2,0,0,1,0,1,0,0,0,2
37.BPM,100a..Porto.Real,0,0,0,0,0,0,2,1,0,3,0,0
28.BPM,101a..Pinheiral.,0,0,0,0,0,0,0,0,0,0,0,0
30.BPM,104a..SÜo.J..Rio.Preto,0,0,0,0,0,0,0,0,0,0,0,0
26.BPM,105a..PetrÑpolis,5,1,2,1,0,0,2,1,1,2,1,2
26.BPM,106a..Itaipava,0,0,0,0,1,0,1,0,0,0,0,0
38.BPM,107a..ParaÕba.do.Sul,1,0,0,0,1,0,0,0,0,0,0,0
38.BPM,108a..Três.Rios,2,0,1,1,1,2,0,1,0,1,1,0
38.BPM,109a..Sapucaia,0,0,0,0,0,0,0,0,0,0,1,0
30.BPM,110a..TeresÑpolis,4,0,2,0,0,0,0,1,0,1,0,4
30.BPM,111a..Sumidouro,0,0,0,0,0,0,0,0,0,0,0,0
30.BPM,112a..Carmo,0,1,0,0,0,0,0,0,0,0,0,0
25.BPM,118a..Araruama,7,7,3,2,4,5,2,7,4,5,6,5
35.BPM,119a..Rio.Bonito.,0,0,0,2,1,1,0,0,2,0,0,0
35.BPM,120a..Silva.Jardim,0,0,2,0,0,0,0,0,1,0,0,0
32.BPM,121a..Casimiro.de.Abreu,0,0,2,1,1,1,0,1,1,2,3,2
32.BPM,122a..ConceiçÜo.de.MacabÏ,0,0,2,0,1,1,1,0,0,1,2,1
32.BPM,123a..Maca_.,12,7,5,9,7,4,5,7,5,6,7,7
25.BPM,124a..Saquarema,0,1,0,0,1,2,0,1,3,2,4,0
25.BPM,125a..SÜo.Pedro.da.Aldeia,3,3,1,3,1,0,2,7,4,6,3,3
25.BPM,126a..Cabo.Frio.,14,15,24,5,8,3,9,12,13,11,9,6
25.BPM,127a..BÏzios,2,4,1,0,1,0,0,1,2,0,0,0
32.BPM,128a..Rio.das.Ostras,5,5,5,2,4,3,6,3,5,4,1,7
25.BPM,129a..Iguaba.,0,1,0,0,0,0,0,0,0,0,1,0
32.BPM,130a..QuissamÜ.,0,2,0,2,2,0,1,0,0,1,0,1
25.BPM,132a..Arraial.do.Cabo,2,1,0,0,0,0,0,2,1,0,1,0
8.BPM,134a..Campos,9,0,2,4,7,7,4,9,10,12,6,6
36.BPM,135a..Itaocara,1,0,0,0,0,0,2,2,0,0,2,0
36.BPM,136a..Santo.Antonio.de.Pàdua,2,0,1,2,1,0,3,2,1,0,1,0
36.BPM,137a..Miracema,1,0,0,1,0,0,1,0,0,0,0,0
29.BPM,138a..Lajes.de.Muriar_,0,0,0,0,0,0,0,0,0,0,0,0
29.BPM,139a..PorciÏncula,0,0,0,1,0,0,0,0,0,0,0,1
29.BPM,140a..Natividade.,0,0,0,0,0,0,0,0,0,0,0,0
8.BPM,141a..SÜo.Fidelis,2,0,0,0,0,1,1,1,0,0,0,2
36.BPM,142a..CambucÕ,0,0,0,0,0,0,0,1,0,0,0,0
29.BPM,143a..Itaperuna,1,1,1,0,0,0,1,1,0,0,1,0
29.BPM,144a..Bom.Jesus.Itabapoana.,0,0,0,0,0,0,0,0,0,1,0,0
8.BPM,145a..SÜo.JoÜo.da.Barra,2,4,3,0,0,0,0,0,2,0,1,0
8.BPM,146a..Guarus,13,7,7,9,5,4,2,11,7,7,12,8
8.BPM,147a..SÜo.Francisco.de.Itabapoana,2,2,0,5,1,0,1,0,0,1,0,4
29.BPM,148a..Italva.,1,0,1,0,0,0,0,0,0,0,0,0
11.BPM,151a..Nova.Friburgo,3,2,3,0,2,0,0,1,1,1,1,0
11.BPM,152a..Duas.Barras,0,0,0,0,0,0,0,0,0,0,0,0
11.BPM,153a..Cantagalo,0,0,0,0,1,0,0,0,0,3,0,0
11.BPM,154a..Cordeiro,0,0,0,1,0,0,0,0,0,0,0,0
36.BPM,155a..SÜo.SebastiÜo.do.Alto,0,0,0,0,1,0,0,0,1,0,0,1
11.BPM,156a..Santa.Maria.Madalena,0,1,0,0,0,0,0,0,0,0,0,0
11.BPM,157a..Trajano.de.Morais,0,0,0,0,1,0,1,0,0,1,0,0
11.BPM,158a..Bom.Jardim,0,0,0,0,0,0,0,0,0,0,0,0
35.BPM,159a..Cachoeira.de.MacacÏ,0,0,0,1,3,0,2,0,1,0,0,2
33.BPM,165a..Mangaratiba,2,0,2,0,0,0,1,1,2,2,1,0
33.BPM,166a..Angra.dos.Reis,4,3,13,9,6,3,5,9,13,15,6,6
33.BPM,167a..ParatÕ,6,1,0,0,0,6,1,0,2,3,2,1
33.BPM,168a..Rio.Claro.,0,0,0,0,1,0,0,0,0,0,0,0
