up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
5.BPM,001a..Praça.Mauà,0,0,0,0,0,0,0,0,0,0,0,1
5.BPM,004a..Praça.da.RepÏblica,1,3,1,2,1,2,1,0,1,0,4,1
5.BPM,005a..Mem.de.Sà.,1,1,1,0,2,0,1,0,0,0,0,1
4.BPM,006a..Cidade.Nova,3,1,3,1,9,2,2,2,1,3,6,1
5.BPM,007a..Santa.Tereza,0,0,0,2,5,1,0,0,2,0,1,0
2.BPM,009a..Catete,0,1,1,0,0,3,0,0,0,0,1,0
2.BPM,010a..Botafogo,2,0,0,0,0,0,0,0,0,1,0,0
23.BPM,011a..Rocinha,2,2,0,1,0,0,1,3,0,0,0,1
19.BPM,012a..Copacabana,0,1,0,0,0,1,0,2,0,0,1,0
19.BPM,013a..Ipanema,0,0,0,0,0,0,0,0,0,0,0,0
23.BPM,014a..Leblon,0,0,0,0,0,0,0,1,0,0,1,1
23.BPM,015a..Gàvea,1,0,0,0,0,0,0,0,0,1,0,1
31.BPM,016a..Barra.da.Tijuca,0,6,2,1,1,0,1,2,0,1,1,0
4.BPM,017a..SÜo.CristÑvÜo,4,4,3,4,2,1,0,2,1,1,0,3
4.BPM,018a..Praça.da.Bandeira,0,3,0,0,1,0,1,0,1,0,1,0
6.BPM,019a..Tijuca,0,1,0,0,0,0,0,0,0,2,0,1
6.BPM,020a..GrajaÏ,1,1,2,0,0,0,1,2,2,0,0,1
22.BPM,021a..Bonsucesso,5,4,4,4,0,3,7,5,6,4,3,4
16.BPM,022a..Penha,2,3,3,0,2,3,0,2,3,0,2,1
3.BPM,023a..Meier,0,0,0,1,2,0,0,0,0,0,1,0
3.BPM,024a..Piedade,1,2,2,0,4,1,1,2,0,2,3,1
3.BPM,025a..Engenho.Novo,1,3,2,3,3,1,1,1,2,1,3,4
3.BPM,026a..Todos.os.Santos,2,1,0,0,3,0,0,0,0,1,5,4
41.BPM,027a..Vicente.de.Carvalho,6,6,4,4,1,6,3,3,1,1,1,3
9.BPM,028a..Campinho,2,2,5,1,1,3,6,3,5,5,4,7
9.BPM,029a..Madureira,8,5,1,8,3,3,3,3,2,1,3,3
9.BPM,030a..Marechal.Hermes,2,5,2,3,2,1,3,2,0,0,4,2
41.BPM,031a..Ricardo.Albuquerque,5,3,1,4,0,4,2,1,5,4,3,7
18.BPM,032a..Taquara,9,6,5,7,11,5,4,7,10,6,5,12
14.BPM,033a..Realengo.,4,4,0,3,10,6,2,6,5,7,5,5
14.BPM,034a..Bangu.,9,8,7,10,11,7,11,6,6,9,2,9
40.BPM,035a..Campo.Grande,3,3,5,6,4,4,3,3,6,6,8,20
27.BPM,036a..Santa.Cruz,15,6,14,12,7,6,13,13,16,5,3,4
17.BPM,037a..Ilha.do.Governador,3,1,3,3,3,4,2,0,3,1,0,2
16.BPM,038a..Braz.de.Pina,2,2,2,6,1,3,6,3,1,4,0,4
41.BPM,039a..Pavuna,6,2,7,5,10,6,5,5,8,16,10,8
9.BPM,040a..HonÑrio.Gurgel,3,3,5,2,7,3,1,0,2,1,1,5
18.BPM,041a..Tanque,1,3,2,0,2,1,1,0,0,2,0,0
31.BPM,042a..Recreio,0,1,5,1,2,3,0,0,0,3,2,0
27.BPM,043a..Pedra.de.Guaratiba.,3,0,4,1,5,2,3,4,0,2,2,2
3.BPM,044a..InhaÏma.,7,4,6,1,1,3,1,2,5,5,1,4
16.BPM,045a..AlemÜo,0,0,4,2,1,1,0,1,2,0,0,2
24.BPM,048a..Serop_dica,4,5,4,6,5,3,3,3,6,3,3,6
24.BPM,050a..ItaguaÕ,3,7,7,13,2,9,6,4,6,4,0,3
24.BPM,051a..ParacambÕ,3,2,0,2,2,3,1,2,1,4,1,3
20.BPM,052a..Nova.Iguaçu,3,0,0,3,5,1,1,1,4,4,9,0
20.BPM,053a..Mesquita,6,5,4,6,3,9,5,4,2,5,2,4
39.BPM,054a..Belford.Roxo,20,10,21,13,13,12,15,14,13,13,12,17
24.BPM,055a..Queimados,11,6,11,9,12,6,7,10,2,12,9,10
20.BPM,056a..Comendador.Soares,11,16,11,22,9,11,7,19,12,12,11,11
20.BPM,057a..NilÑpolis,1,5,4,2,2,5,4,2,4,0,2,5
20.BPM,058a..Posse,20,17,24,19,21,13,8,15,13,16,13,18
15.BPM,059a..Duque.de.Caxias,11,11,7,10,12,4,8,6,6,5,5,6
15.BPM,060a..Campos.ElÕseos.,15,8,10,5,11,4,12,13,7,11,8,5
15.BPM,061a..Xer_m.,5,1,3,2,2,1,1,7,3,5,6,1
15.BPM,062a..Imbariê,11,8,7,8,7,4,7,1,6,7,2,8
24.BPM,063a..JaperÕ.,5,5,4,4,1,4,7,5,6,2,4,13
21.BPM,064a..Vilar.dos.Teles,20,12,14,9,9,7,12,7,16,17,20,9
34.BPM,065a..Mag_.,6,0,3,0,0,3,3,1,5,1,2,9
34.BPM,066a..Piabetà,6,1,3,1,4,1,1,5,5,1,4,5
34.BPM,067a..Guapimirim,2,4,4,1,0,1,2,2,2,1,3,2
35.BPM,070a..Tanguà,1,0,0,0,0,0,1,0,1,0,0,0
35.BPM,071a..ItaboraÕ,6,3,3,3,3,4,6,5,3,8,5,4
