up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
12.BPM,077a..Icaraê,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
12.BPM,078a..Fonseca,6,12,4,6,5,NA,NA,NA,NA,NA,NA,NA
12.BPM,079a..Jurujuba,1,3,0,4,1,NA,NA,NA,NA,NA,NA,NA
12.BPM,081a..Itaip“,2,1,1,2,0,NA,NA,NA,NA,NA,NA,NA
12.BPM,082a..Maricö,3,11,2,4,3,NA,NA,NA,NA,NA,NA,NA
10.BPM,087a..Paty.de.Alferes.(.a.inaugurar),0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,088a..Barra.do.Piraê,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA
37.BPM,089a..Resende,3,2,1,6,2,NA,NA,NA,NA,NA,NA,NA
28.BPM,090a..Barra.Mansa,3,5,1,4,5,NA,NA,NA,NA,NA,NA,NA
10.BPM,091a..Valença,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,092a..Rio.das.Flores,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
28.BPM,093a..Volta.Redonda,5,5,7,6,3,NA,NA,NA,NA,NA,NA,NA
10.BPM,094a..Piraê,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,095a..Vassouras,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
10.BPM,096a..Miguel.Pereira,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA
10.BPM,097a..Mendes,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
10.BPM,098a..Paulo.de.Frontin,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
37.BPM,099a..Itatiaia,1,3,0,3,0,NA,NA,NA,NA,NA,NA,NA
37.BPM,100a..Porto.Real,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA
28.BPM,101a..Pinheiral.,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,104a..S o.J..Rio.Preto,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
26.BPM,105a..Petrãpolis,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA
26.BPM,106a..Itaipava,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA
38.BPM,107a..Paraêba.do.Sul,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA
38.BPM,108a..Três.Rios,0,3,1,2,0,NA,NA,NA,NA,NA,NA,NA
38.BPM,109a..Sapucaia,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,110a..Teresãpolis,2,1,5,2,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,111a..Sumidouro,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
30.BPM,112a..Carmo,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
25.BPM,118a..Araruama,2,6,4,6,8,NA,NA,NA,NA,NA,NA,NA
35.BPM,119a..Rio.Bonito.,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
35.BPM,120a..Silva.Jardim,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA
32.BPM,121a..Casimiro.de.Abreu,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA
32.BPM,122a..Conceiç o.de.Macab“,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,123a..Maca_.,6,8,7,13,8,NA,NA,NA,NA,NA,NA,NA
25.BPM,124a..Saquarema,5,6,5,2,3,NA,NA,NA,NA,NA,NA,NA
25.BPM,125a..S o.Pedro.da.Aldeia,2,4,3,4,5,NA,NA,NA,NA,NA,NA,NA
25.BPM,126a..Cabo.Frio.,12,12,8,9,4,NA,NA,NA,NA,NA,NA,NA
25.BPM,127a..B“zios,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,128a..Rio.das.Ostras,6,9,6,11,7,NA,NA,NA,NA,NA,NA,NA
25.BPM,129a..Iguaba.,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
32.BPM,130a..Quissam .,1,1,1,2,0,NA,NA,NA,NA,NA,NA,NA
25.BPM,132a..Arraial.do.Cabo,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
8.BPM,134a..Campos,10,6,11,12,6,NA,NA,NA,NA,NA,NA,NA
36.BPM,135a..Itaocara,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,136a..Santo.Antonio.de.Pödua,1,2,1,2,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,137a..Miracema,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,138a..Lajes.de.Muriar_,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,139a..Porci“ncula,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,140a..Natividade.,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
8.BPM,141a..S o.Fidelis,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,142a..Cambucê,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,143a..Itaperuna,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
29.BPM,144a..Bom.Jesus.Itabapoana.,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
8.BPM,145a..S o.Jo o.da.Barra,1,0,3,3,1,NA,NA,NA,NA,NA,NA,NA
8.BPM,146a..Guarus,13,8,16,19,19,NA,NA,NA,NA,NA,NA,NA
8.BPM,147a..S o.Francisco.de.Itabapoana,0,1,1,2,3,NA,NA,NA,NA,NA,NA,NA
29.BPM,148a..Italva.,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,151a..Nova.Friburgo,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
11.BPM,152a..Duas.Barras,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,153a..Cantagalo,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,154a..Cordeiro,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA
36.BPM,155a..S o.Sebasti o.do.Alto,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
11.BPM,156a..Santa.Maria.Madalena,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,157a..Trajano.de.Morais,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
11.BPM,158a..Bom.Jardim,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
35.BPM,159a..Cachoeira.de.Macac“,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,165a..Mangaratiba,1,1,6,2,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,166a..Angra.dos.Reis,8,9,5,11,5,NA,NA,NA,NA,NA,NA,NA
33.BPM,167a..Paratê,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA
33.BPM,168a..Rio.Claro.,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA
