up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
5.BPM,001a.PraçaMauˆ,0,0,0,1,1,0,0,0,0,0,0,0
5.BPM,004a.PraçadaRepìblica,0,3,2,2,3,1,1,0,2,1,1,0
5.BPM,005a.MemdeSˆ,1,0,0,1,2,0,1,2,3,2,0,3
4.BPM,006a.CidadeNva,0,0,2,0,2,0,3,1,3,2,0,5
5.BPM,007a.SantaTereza,0,0,0,0,0,0,0,1,0,2,1,0
2.BPM,009a.Catete,0,0,1,0,1,1,0,0,0,1,0,0
2.BPM,010a.Btafg,0,0,1,0,0,0,1,1,0,2,0,0
23.BPM,011a.Rcinha,1,1,1,1,1,0,0,0,1,1,0,0
19.BPM,012a.Cpacabana,0,1,1,0,1,0,0,0,0,0,0,0
19.BPM,013a.Ipanema,0,0,0,2,0,0,0,0,0,0,1,0
23.BPM,014a.Lebln,0,0,0,0,1,1,0,0,0,0,1,0
23.BPM,015a.Gˆvea,0,1,0,0,0,1,0,0,1,0,1,0
31.BPM,016a.BarradaTijuca,0,2,1,1,2,2,5,3,3,1,1,2
4.BPM,017a.S†Crist„v†,1,3,0,0,0,0,3,0,5,3,1,4
4.BPM,018a.PraçadaBandeira,0,0,0,0,0,0,1,0,0,1,2,0
6.BPM,019a.Tijuca,0,1,1,0,3,2,0,0,0,0,1,1
6.BPM,020a.Grajaì,1,0,0,0,0,0,0,1,3,0,2,2
22.BPM,021a.Bnsucess,7,13,4,6,7,3,4,3,2,11,5,2
16.BPM,022a.Penha,2,7,4,3,2,1,1,1,2,5,2,5
3.BPM,023a.Meier,0,0,0,1,1,0,1,0,2,1,0,0
3.BPM,024a.Piedade,2,4,0,0,0,1,1,2,0,1,3,6
3.BPM,025a.EngenhNv,1,1,3,2,1,4,1,5,3,2,1,1
3.BPM,026a.TdssSants,0,0,0,4,0,0,0,2,0,2,0,0
41.BPM,027a.VicentedeCarvalh,5,4,3,7,2,3,4,4,2,3,0,3
9.BPM,028a.Campinh,3,3,4,2,2,6,7,4,4,2,0,2
9.BPM,029a.Madureira,11,6,13,5,10,6,7,4,4,5,3,1
9.BPM,030a.MarechalHermes,4,5,5,4,6,3,1,1,1,3,1,2
41.BPM,031a.RicardAlbuquerque,1,3,4,2,3,3,4,1,3,0,7,2
18.BPM,032a.Taquara,7,3,10,6,4,8,5,8,9,7,8,8
14.BPM,033a.Realeng,6,11,5,6,7,5,1,3,4,3,4,3
14.BPM,034a.Bangu,16,9,12,5,8,5,6,8,3,4,4,7
40.BPM,035a.CampGrande,5,6,6,4,5,2,5,3,7,4,5,5
27.BPM,036a.SantaCruz,12,14,12,12,12,8,5,6,10,13,11,16
17.BPM,037a.IlhadGvernadr,3,3,3,1,2,4,3,3,1,1,0,1
16.BPM,038a.BrazdePina,2,2,2,0,1,5,1,4,4,2,4,2
41.BPM,039a.Pavuna,12,13,5,4,8,10,7,8,3,14,5,6
9.BPM,040a.Hn„riGurgel,2,1,2,3,6,0,2,1,2,5,4,3
18.BPM,041a.Tanque,1,3,1,1,0,1,1,1,3,3,0,1
31.BPM,042a.Recrei,2,2,1,2,1,2,4,0,1,2,0,4
27.BPM,043a.PedradeGuaratiba,5,7,1,3,3,7,3,1,4,4,2,4
3.BPM,044a.Inhaìma,0,1,1,2,4,3,2,0,2,2,1,1
16.BPM,045a.Alem†,0,0,0,1,1,2,1,0,2,0,0,1
24.BPM,048a.Serp_dica,3,2,7,8,5,6,1,9,1,12,11,4
24.BPM,050a.ItaguaÍ,9,11,10,6,3,7,5,5,3,6,4,3
24.BPM,051a.ParacambÍ,0,1,0,2,1,4,3,1,1,1,1,2
20.BPM,052a.NvaIguaçu,2,5,5,5,2,3,3,4,3,1,7,2
20.BPM,053a.Mesquita,4,4,4,9,3,2,5,4,7,2,5,6
39.BPM,054a.BelfrdRx,29,21,24,12,20,22,13,22,16,20,13,20
24.BPM,055a.Queimads,8,10,8,11,11,7,2,4,8,14,6,11
20.BPM,056a.CmendadrSares,24,15,28,17,15,7,15,19,9,14,21,9
20.BPM,057a.Nil„plis,9,6,7,5,11,2,2,6,2,8,0,5
20.BPM,058a.Psse,25,30,22,35,18,18,29,17,15,16,27,23
15.BPM,059a.DuquedeCaxias,7,11,5,16,11,13,16,15,9,7,10,7
15.BPM,060a.CampsElÍses,16,21,12,22,18,16,9,7,10,8,11,14
15.BPM,061a.Xer_m,3,4,8,4,1,4,5,5,4,2,2,4
15.BPM,062a.Imbariê,11,10,11,14,11,9,13,12,8,8,6,8
24.BPM,063a.JaperÍ,5,3,5,2,2,3,6,5,5,7,2,6
21.BPM,064a.VilardsTeles,23,14,26,20,31,11,19,18,17,9,14,7
34.BPM,065a.Mag_,5,5,3,2,3,6,5,4,6,2,2,7
