up,unid.policial,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dez
34.BPM,066a.Piabetˆ,10,7,3,1,6,3,1,6,7,2,4,5
34.BPM,067a.Guapimirim,1,0,0,2,5,3,3,5,1,2,1,4
35.BPM,070a.Tanguˆ,1,0,0,0,1,0,0,0,0,1,0,0
35.BPM,071a.ItabraÍ,5,6,4,6,6,10,10,3,8,8,1,14
7.BPM,072a.S†Gnçal,6,6,4,12,6,2,4,3,4,8,3,2
7.BPM,073a.Neves,6,6,4,9,5,5,3,3,4,10,6,8
7.BPM,074a.Alcantara,14,16,15,14,10,10,12,6,11,5,7,8
7.BPM,075a.Ridur,3,6,13,11,9,6,7,9,6,6,7,5
12.BPM,076a.Niter„i-Centr,1,0,1,2,1,0,2,6,0,1,2,0
12.BPM,077a.IcaraÍ,0,0,0,0,0,0,0,1,0,0,1,0
12.BPM,078a.Fnseca,3,7,2,2,3,2,0,4,3,0,1,1
12.BPM,079a.Jurujuba,0,1,1,3,2,1,1,2,0,0,0,1
12.BPM,081a.Itaipì,3,1,0,1,0,0,1,0,1,1,0,3
12.BPM,082a.Maricˆ,6,8,4,8,5,2,3,3,2,6,5,5
10.BPM,087a.PatydeAlferes(ainaugurar),0,0,0,0,0,0,0,0,0,0,0,0
10.BPM,088a.BarradPiraÍ,1,4,2,0,0,0,0,0,0,3,5,5
37.BPM,089a.Resende,4,3,2,1,1,2,2,2,3,1,4,1
28.BPM,090a.BarraMansa,5,2,7,4,2,2,5,5,2,3,1,3
10.BPM,091a.Valença,1,0,3,0,0,0,1,0,0,1,1,0
10.BPM,092a.RidasFlres,0,0,0,0,0,0,0,0,0,0,1,0
28.BPM,093a.VltaRednda,7,7,4,2,3,8,4,6,1,4,2,8
10.BPM,094a.PiraÍ,0,0,0,0,0,0,0,1,0,1,0,0
10.BPM,095a.Vassuras,0,0,1,0,0,0,0,1,0,0,0,1
10.BPM,096a.MiguelPereira,2,3,0,1,2,0,0,0,1,1,0,2
10.BPM,097a.Mendes,0,0,0,0,0,0,0,0,0,0,0,1
10.BPM,098a.PauldeFrntin,0,0,0,0,0,0,0,0,0,0,0,0
37.BPM,099a.Itatiaia,0,0,1,0,0,1,0,1,0,0,0,1
37.BPM,100a.PrtReal,0,2,1,0,0,0,1,1,0,1,0,0
28.BPM,101a.Pinheiral,0,0,0,0,1,0,0,1,0,0,0,0
30.BPM,104a.S†J.RiPret,0,0,0,0,0,1,0,0,0,0,0,0
26.BPM,105a.Petr„plis,0,1,6,1,2,0,0,1,1,1,0,0
26.BPM,106a.Itaipava,0,0,0,0,0,0,0,0,0,0,1,1
38.BPM,107a.ParaÍbadSul,1,0,3,1,1,0,3,0,0,0,0,0
38.BPM,108a.TrêsRis,0,2,0,0,0,4,0,0,1,0,0,0
38.BPM,109a.Sapucaia,0,0,0,0,0,0,2,0,0,0,0,0
30.BPM,110a.Teres„plis,1,1,0,1,1,5,0,0,0,2,1,0
30.BPM,111a.Sumidur,0,1,0,0,0,0,0,0,0,0,1,0
30.BPM,112a.Carm,0,0,0,0,1,0,0,0,0,0,0,2
25.BPM,118a.Araruama,2,6,5,7,7,3,1,2,1,1,2,4
35.BPM,119a.RiBnit,1,0,1,0,1,0,2,1,0,0,0,2
35.BPM,120a.SilvaJardim,1,0,0,0,0,0,0,0,3,0,0,0
32.BPM,121a.CasimirdeAbreu,0,0,2,3,2,0,2,0,0,1,1,3
32.BPM,122a.Cnceiç†deMacabì,1,1,2,1,1,1,0,1,1,2,0,2
32.BPM,123a.Maca_,10,9,18,10,5,11,4,3,7,6,11,10
25.BPM,124a.Saquarema,1,1,1,1,1,3,2,2,1,1,2,0
25.BPM,125a.S†PedrdaAldeia,4,3,3,1,4,3,6,2,3,5,3,3
25.BPM,126a.CabFri,9,7,19,13,23,12,11,15,11,8,9,9
25.BPM,127a.Bìzis,2,0,3,2,0,0,0,3,1,0,2,3
32.BPM,128a.Ridasstras,4,2,10,4,4,4,1,1,2,1,4,7
25.BPM,129a.Iguaba,0,3,0,0,0,1,0,1,0,0,0,0
32.BPM,130a.Quissam†,2,0,1,1,4,0,2,0,0,0,2,1
25.BPM,132a.ArraialdCab,0,1,0,1,1,1,1,0,0,1,0,1
8.BPM,134a.Camps,7,17,15,6,6,5,4,5,8,7,5,5
36.BPM,135a.Itacara,0,1,1,0,0,1,2,0,0,1,1,1
36.BPM,136a.SantAntnidePˆdua,3,0,0,1,1,1,2,0,0,0,1,2
36.BPM,137a.Miracema,0,0,0,0,0,0,0,1,1,0,0,0
29.BPM,138a.LajesdeMuriar_,0,0,0,0,0,0,0,0,0,0,0,0
29.BPM,139a.Prciìncula,0,0,0,0,0,0,0,0,0,0,0,0
29.BPM,140a.Natividade,0,0,0,0,0,0,0,0,0,0,0,0
8.BPM,141a.S†Fidelis,0,0,0,0,0,0,0,1,0,1,0,0
36.BPM,142a.CambucÍ,0,0,0,2,2,0,0,0,0,0,0,0
29.BPM,143a.Itaperuna,1,1,4,1,0,1,0,0,1,1,0,2
29.BPM,144a.BmJesusItabapana,0,0,1,0,0,0,0,0,0,0,0,0
8.BPM,145a.S†J†daBarra,4,5,0,3,1,2,0,0,2,0,0,0
8.BPM,146a.Guarus,11,12,12,11,14,9,8,9,14,3,10,17
8.BPM,147a.S†FranciscdeItabapana,1,2,5,2,2,1,1,3,2,0,2,1
29.BPM,148a.Italva,1,0,0,0,0,0,0,0,0,1,0,1
11.BPM,151a.NvaFriburg,3,3,5,1,1,1,0,2,0,3,1,0
11.BPM,152a.DuasBarras,0,0,1,0,0,0,0,0,0,0,1,0
11.BPM,153a.Cantagal,1,0,2,1,0,0,1,0,0,1,0,1
11.BPM,154a.Crdeir,1,0,0,1,0,0,1,1,0,0,0,0
36.BPM,155a.S†Sebasti†dAlt,1,0,0,0,0,0,1,0,0,0,1,0
11.BPM,156a.SantaMariaMadalena,0,0,0,0,1,0,0,0,0,0,0,0
11.BPM,157a.TrajandeMrais,0,0,0,0,0,0,0,0,0,1,0,0
11.BPM,158a.BmJardim,0,0,0,0,0,1,0,0,0,0,0,0
35.BPM,159a.CacheiradeMacacì,2,0,5,1,2,0,2,1,1,0,0,0
33.BPM,165a.Mangaratiba,2,3,6,2,0,0,3,1,1,1,0,1
33.BPM,166a.AngradsReis,11,7,6,5,4,3,4,8,5,6,6,10
33.BPM,167a.ParatÍ,1,2,5,2,5,6,1,1,1,3,1,0
33.BPM,168a.RiClar,0,0,0,0,0,0,0,0,0,0,1,0
